grid_sigma,resolution,weight_rcut,rmse,mae,r2
0.05,128,8.0,0.8028526497464494,0.4933714270591736,0.6322030425071716
0.05,128,5.0,0.8357405029336953,0.5149606466293335,0.6014531850814819
0.05,128,4.0,0.8522875088074563,0.5446540713310242,0.5855151414871216
0.05,128,2.0,1.111916706317256,0.7809959053993225,0.2945261001586914
