grid_sigma,resolution,weight_rcut,rmse,mae,r2
0.5,128,5.0,0.8090795633189767,0.5249435901641846,0.6264756321907043
0.05,128,5.0,0.8357405029336953,0.5149606466293335,0.6014531850814819
0.01,128,5.0,0.84837904670799,0.5424425601959229,0.5893079042434692
0.005,128,5.0,0.8649274914731185,0.5563608407974243,0.5731297731399536
0.001,128,5.0,0.9359230129540906,0.6072841882705688,0.5001764297485352
